"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US3606390","ZCTA5 06390, New York","236"
"8710000US3610001","ZCTA5 10001, New York","21102"
"8710000US3610002","ZCTA5 10002, New York","81410"
"8710000US3610003","ZCTA5 10003, New York","56024"
"8710000US3610004","ZCTA5 10004, New York","3089"
"8710000US3610005","ZCTA5 10005, New York","7135"
"8710000US3610006","ZCTA5 10006, New York","3011"
"8710000US3610007","ZCTA5 10007, New York","6988"
"8710000US3610009","ZCTA5 10009, New York","61347"
"8710000US3610010","ZCTA5 10010, New York","31834"
"8710000US3610011","ZCTA5 10011, New York","50984"
"8710000US3610012","ZCTA5 10012, New York","24090"
"8710000US3610013","ZCTA5 10013, New York","27700"
"8710000US3610014","ZCTA5 10014, New York","31959"
"8710000US3610016","ZCTA5 10016, New York","54183"
"8710000US3610017","ZCTA5 10017, New York","16575"
"8710000US3610018","ZCTA5 10018, New York","5229"
"8710000US3610019","ZCTA5 10019, New York","42870"
"8710000US3610020","ZCTA5 10020, New York","0"
"8710000US3610021","ZCTA5 10021, New York","43631"
"8710000US3610022","ZCTA5 10022, New York","31924"
"8710000US3610023","ZCTA5 10023, New York","60998"
"8710000US3610024","ZCTA5 10024, New York","59283"
"8710000US3610025","ZCTA5 10025, New York","94600"
"8710000US3610026","ZCTA5 10026, New York","34003"
"8710000US3610027","ZCTA5 10027, New York","59707"
"8710000US3610028","ZCTA5 10028, New York","45141"
"8710000US3610029","ZCTA5 10029, New York","76003"
"8710000US3610030","ZCTA5 10030, New York","26999"
"8710000US3610031","ZCTA5 10031, New York","56438"
"8710000US3610032","ZCTA5 10032, New York","57331"
"8710000US3610033","ZCTA5 10033, New York","53926"
"8710000US3610034","ZCTA5 10034, New York","38908"
"8710000US3610035","ZCTA5 10035, New York","33969"
"8710000US3610036","ZCTA5 10036, New York","24711"
"8710000US3610037","ZCTA5 10037, New York","17416"
"8710000US3610038","ZCTA5 10038, New York","20300"
"8710000US3610039","ZCTA5 10039, New York","24527"
"8710000US3610040","ZCTA5 10040, New York","41905"
"8710000US3610044","ZCTA5 10044, New York","11661"
"8710000US3610065","ZCTA5 10065, New York","32270"
"8710000US3610069","ZCTA5 10069, New York","5199"
"8710000US3610075","ZCTA5 10075, New York","26121"
"8710000US3610103","ZCTA5 10103, New York","3"
"8710000US3610110","ZCTA5 10110, New York","0"
"8710000US3610111","ZCTA5 10111, New York","0"
"8710000US3610112","ZCTA5 10112, New York","0"
"8710000US3610115","ZCTA5 10115, New York","0"
"8710000US3610119","ZCTA5 10119, New York","92"
"8710000US3610128","ZCTA5 10128, New York","60453"
"8710000US3610152","ZCTA5 10152, New York","0"
"8710000US3610153","ZCTA5 10153, New York","0"
"8710000US3610154","ZCTA5 10154, New York","0"
"8710000US3610162","ZCTA5 10162, New York","1685"
"8710000US3610165","ZCTA5 10165, New York","2"
"8710000US3610167","ZCTA5 10167, New York","0"
"8710000US3610168","ZCTA5 10168, New York","0"
"8710000US3610169","ZCTA5 10169, New York","0"
"8710000US3610170","ZCTA5 10170, New York","2"
"8710000US3610171","ZCTA5 10171, New York","0"
"8710000US3610172","ZCTA5 10172, New York","0"
"8710000US3610173","ZCTA5 10173, New York","2"
"8710000US3610174","ZCTA5 10174, New York","0"
"8710000US3610177","ZCTA5 10177, New York","0"
"8710000US3610199","ZCTA5 10199, New York","9"
"8710000US3610271","ZCTA5 10271, New York","0"
"8710000US3610278","ZCTA5 10278, New York","0"
"8710000US3610279","ZCTA5 10279, New York","0"
"8710000US3610280","ZCTA5 10280, New York","7853"
"8710000US3610282","ZCTA5 10282, New York","4783"
"8710000US3610301","ZCTA5 10301, New York","39706"
"8710000US3610302","ZCTA5 10302, New York","19088"
"8710000US3610303","ZCTA5 10303, New York","26337"
"8710000US3610304","ZCTA5 10304, New York","42193"
"8710000US3610305","ZCTA5 10305, New York","41749"
"8710000US3610306","ZCTA5 10306, New York","55909"
"8710000US3610307","ZCTA5 10307, New York","14096"
"8710000US3610308","ZCTA5 10308, New York","27357"
"8710000US3610309","ZCTA5 10309, New York","32519"
"8710000US3610310","ZCTA5 10310, New York","24962"
"8710000US3610311","ZCTA5 10311, New York","0"
"8710000US3610312","ZCTA5 10312, New York","59304"
"8710000US3610314","ZCTA5 10314, New York","85510"
"8710000US3610451","ZCTA5 10451, New York","45713"
"8710000US3610452","ZCTA5 10452, New York","75371"
"8710000US3610453","ZCTA5 10453, New York","78309"
"8710000US3610454","ZCTA5 10454, New York","37337"
"8710000US3610455","ZCTA5 10455, New York","39665"
"8710000US3610456","ZCTA5 10456, New York","86547"
"8710000US3610457","ZCTA5 10457, New York","70496"
"8710000US3610458","ZCTA5 10458, New York","79492"
"8710000US3610459","ZCTA5 10459, New York","47308"
"8710000US3610460","ZCTA5 10460, New York","57311"
"8710000US3610461","ZCTA5 10461, New York","50502"
"8710000US3610462","ZCTA5 10462, New York","75784"
"8710000US3610463","ZCTA5 10463, New York","67970"
"8710000US3610464","ZCTA5 10464, New York","4534"
"8710000US3610465","ZCTA5 10465, New York","42230"
"8710000US3610466","ZCTA5 10466, New York","67813"
"8710000US3610467","ZCTA5 10467, New York","97060"
"8710000US3610468","ZCTA5 10468, New York","76103"
"8710000US3610469","ZCTA5 10469, New York","66631"
"8710000US3610470","ZCTA5 10470, New York","15293"
"8710000US3610471","ZCTA5 10471, New York","22922"
"8710000US3610472","ZCTA5 10472, New York","66358"
"8710000US3610473","ZCTA5 10473, New York","58519"
"8710000US3610474","ZCTA5 10474, New York","12281"
"8710000US3610475","ZCTA5 10475, New York","40931"
"8710000US3610501","ZCTA5 10501, New York","1219"
"8710000US3610502","ZCTA5 10502, New York","5487"
"8710000US3610503","ZCTA5 10503, New York","108"
"8710000US3610504","ZCTA5 10504, New York","7987"
"8710000US3610505","ZCTA5 10505, New York","851"
"8710000US3610506","ZCTA5 10506, New York","5790"
"8710000US3610507","ZCTA5 10507, New York","6408"
"8710000US3610509","ZCTA5 10509, New York","19507"
"8710000US3610510","ZCTA5 10510, New York","9988"
"8710000US3610511","ZCTA5 10511, New York","2246"
"8710000US3610512","ZCTA5 10512, New York","25590"
"8710000US3610514","ZCTA5 10514, New York","11946"
"8710000US3610516","ZCTA5 10516, New York","5289"
"8710000US3610517","ZCTA5 10517, New York","539"
"8710000US3610518","ZCTA5 10518, New York","1268"
"8710000US3610519","ZCTA5 10519, New York","316"
"8710000US3610520","ZCTA5 10520, New York","12810"
"8710000US3610522","ZCTA5 10522, New York","10875"
"8710000US3610523","ZCTA5 10523, New York","7444"
"8710000US3610524","ZCTA5 10524, New York","4421"
"8710000US3610526","ZCTA5 10526, New York","1809"
"8710000US3610527","ZCTA5 10527, New York","908"
"8710000US3610528","ZCTA5 10528, New York","12280"
"8710000US3610530","ZCTA5 10530, New York","12604"
"8710000US3610532","ZCTA5 10532, New York","4931"
"8710000US3610533","ZCTA5 10533, New York","7322"
"8710000US3610535","ZCTA5 10535, New York","555"
"8710000US3610536","ZCTA5 10536, New York","10739"
"8710000US3610537","ZCTA5 10537, New York","2416"
"8710000US3610538","ZCTA5 10538, New York","16597"
"8710000US3610541","ZCTA5 10541, New York","26339"
"8710000US3610543","ZCTA5 10543, New York","20135"
"8710000US3610545","ZCTA5 10545, New York","141"
"8710000US3610546","ZCTA5 10546, New York","1277"
"8710000US3610547","ZCTA5 10547, New York","7647"
"8710000US3610548","ZCTA5 10548, New York","3487"
